DATAFLOW,LAST UPDATE,freq,reporter,product,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291520,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291530,EXPQNT,2024,20
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291530,EXPVAL,2024,819
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291530,IMPQNT,2024,399706
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291530,IMPVAL,2024,3735540
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291530,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291530,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291530,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291905,EXPQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291905,EXPVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291905,IMPQNT,2024,1200
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291905,IMPVAL,2024,77676
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291905,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291905,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291905,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291910,EXPQNT,2024,2114594
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291910,EXPVAL,2024,1617480
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291910,IMPQNT,2024,4638279
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291910,IMPVAL,2024,2573887
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291910,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291910,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291910,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291915,EXPQNT,2024,1950
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291915,EXPVAL,2024,4680
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291915,IMPQNT,2024,1929611
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291915,IMPVAL,2024,1609422
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291915,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291915,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291915,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291920,EXPQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291920,EXPVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291920,IMPQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291920,IMPVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291920,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291920,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291920,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291925,EXPQNT,2024,519167
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291925,EXPVAL,2024,1719673
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291925,IMPQNT,2024,470815
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291925,IMPVAL,2024,11858023
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291925,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291925,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291925,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291926,EXPQNT,2024,75
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291926,EXPVAL,2024,3219
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291926,IMPQNT,2024,1676
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291926,IMPVAL,2024,39687
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291926,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291926,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291926,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291930,EXPQNT,2024,18598930
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291930,EXPVAL,2024,5126934
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291930,IMPQNT,2024,85018500
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291930,IMPVAL,2024,21727266
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291930,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291930,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291930,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291935,EXPQNT,2024,1784566
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291935,EXPVAL,2024,4112715
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291935,IMPQNT,2024,1275140
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291935,IMPVAL,2024,3787233
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291935,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291935,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291935,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291940,EXPQNT,2024,23635
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291940,EXPVAL,2024,903085
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291940,IMPQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291940,IMPVAL,2024,169
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291940,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291940,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291940,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291945,EXPQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291945,EXPVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291945,IMPQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291945,IMPVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291945,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291945,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291945,QNTUNIT,2024,kg
